name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
Harapó Mókus Vendéglő,restaurant,47.5424547,19.035274800000003,0.0,0.0,11.416666666666666,14.874241343865426,23.916666666666668,29.68012335254391,28.041666666666668,34.014064697154645,23.75,28.86498744153546
Gozsdu Court,night_club,47.498467,19.0594862,18.458333333333332,8.751091201800048,15.875,7.568093661330221,20.083333333333332,11.041273577908584,25.0,15.561705133649932,29.625,21.42586540453695
ZiziCar,car_dealer,47.5565959,19.1271305,0.0,0.0,11.041666666666666,16.37701429510954,8.333333333333334,13.634107557478373,20.708333333333332,30.413099105849476,0.0,0.0
Kínai büfé,restaurant,47.401109000000005,19.1144171,23.625,30.14383919919071,24.75,30.01562093310748,29.875,36.99021548553978,25.25,30.635287387803846,24.833333333333332,29.963403604322984
Lőrinc-Center Bevásárlóközpont,shopping_mall,47.433518400000004,19.2019525,30.083333333333332,30.01793445407077,35.625,35.55255792485261,35.5,35.41186241925155,37.291666666666664,37.2877092872288,36.166666666666664,35.068583597795275
MOL,gas_station,47.517429,19.106815,35.708333333333336,30.70488447390017,38.458333333333336,31.60693379448391,38.416666666666664,33.40772947820442,42.416666666666664,35.72571047423534,42.916666666666664,35.63111545950939
Verlon Cipőbolt - Gördülő talpú- és kényelmi cipők,shoe_store,47.560200099999996,19.0919135,15.375,23.64989869604801,18.458333333333332,26.78926894402973,18.791666666666668,27.247292169233173,20.375,29.180205191190826,16.208333333333332,23.420039792641024
Café Frei,bakery,47.5267224,19.0765898,16.958333333333332,26.977581999793006,19.5,25.842471502031948,18.833333333333332,25.69478978746902,17.583333333333332,23.567132244340257,14.916666666666666,18.929511057840056
Musical well,tourist_attraction,47.5352803,19.0521115,8.083333333333334,12.148102275206973,8.625,11.481189325733347,6.041666666666667,9.550214511843292,8.083333333333334,11.075184974627838,10.375,13.079285467231509
Takko Fashion,clothing_store,47.466243,19.1566047,14.791666666666666,18.359782058135174,11.166666666666666,15.797327481430381,14.416666666666666,22.147077810753174,12.666666666666666,19.099883652932434,15.416666666666666,21.100783292464655
Shiraz Lounge & Restaurant,bar,47.486345,19.063748899999997,7.708333333333333,11.8162288353302,6.0,10.862780491200215,7.916666666666667,12.977277149780774,10.333333333333334,17.76622888766462,19.833333333333332,34.60571564865486
Parfé Cukrászda,store,47.4351276,19.1336388,5.958333333333333,9.431680508913681,7.291666666666667,12.084698198778302,8.875,14.04549898247359,7.625,13.319198236630712,10.25,16.462710388430374
Tesco,store,47.5095099,19.0578812,27.75,25.31180554602931,34.708333333333336,31.770635245284108,37.875,33.55134435955336,34.25,30.334592464709328,33.416666666666664,28.923630285441156
Döner Kebab House,restaurant,47.5454538,19.1385038,14.166666666666666,15.252504348102606,16.041666666666668,17.676441871095612,23.541666666666668,26.47637180372131,21.041666666666668,21.888884482515067,16.875,19.67509529837149
Ground Terrace,bar,47.484810499999995,19.0765491,5.208333333333333,7.39920697702726,10.5,16.844880527923017,12.625,18.734576990153794,20.416666666666668,28.435477644817027,24.833333333333332,35.45380405855234
Haj Bár,hair_care,47.5688399,19.052148100000004,15.583333333333334,18.122078308577695,23.5,32.85701345730213,17.5,18.328029535841182,18.041666666666668,25.308890346191703,16.291666666666668,22.30373505093311
ALDI,supermarket,47.461806,19.044149899999997,31.5,28.812612978809586,37.5,32.79862802008645,36.666666666666664,32.47905307869811,40.625,34.38242344086098,34.541666666666664,29.064553392214524
Scorpio Kft.,car_dealer,47.568144000000004,19.0267625,21.5,29.06314963431642,20.791666666666668,27.952309336121445,19.125,24.957150778884998,20.583333333333332,27.231900207089645,20.5,30.683871985132516
Sat-Rol Kft.,car_wash,47.535110700000004,19.1114621,25.666666666666668,27.81885851160843,28.458333333333332,32.729929176350026,30.625,33.658595360868325,27.916666666666668,30.305275485007922,20.666666666666668,23.028364152834556
Kerex-Budafok Uszodatechnikai Kft.,home_goods_store,47.4627688,19.0067593,20.0,28.958303357298636,18.666666666666668,26.75142779159439,19.291666666666668,28.37469407568809,23.333333333333332,34.384670356941854,17.416666666666668,25.169287942958487
Posta 3. sz.,post_office,47.561189,19.080817,30.625,38.96131895868003,22.958333333333332,33.11278600816039,18.833333333333332,29.069839276397033,23.0,33.43899918757538,20.75,31.32258237544706
Szépségfórum,hair_care,47.5379213,19.0894355,12.625,16.901214206874805,14.791666666666666,18.0138353464466,20.666666666666668,23.33392856383644,18.958333333333332,26.077575243023563,11.333333333333334,12.505554321536046
Díszállat Kutsera,pet_store,47.5506115,19.0730682,10.666666666666666,13.667682889047272,14.458333333333334,19.54903912102985,14.5,17.904841058588968,16.458333333333332,22.63474314460454,19.208333333333332,23.070506363946347
temple Square,park,47.453227399999996,19.143057199999998,5.416666666666667,7.702362552417854,3.0,4.173328008516305,3.125,3.527422335549478,5.041666666666667,7.12670544891225,8.666666666666666,13.813238416662314
Hachapuri,bakery,47.5012929,19.055217000000003,15.0,17.750586844759056,18.333333333333332,24.31334795722072,21.208333333333332,25.58316368021924,21.791666666666668,27.193717360612702,22.833333333333332,27.417553177156826
OMRON Magyarország - HUNGIMPEX Kft.,store,47.556928899999996,19.0338582,24.125,32.63345995038426,26.375,35.17908054985709,26.291666666666668,35.1620998219516,24.583333333333332,33.66367560970661,18.916666666666668,26.876130467180143
Koreai Köztársaság Nagykövetsége,embassy,47.5117979,19.073924899999998,23.291666666666668,37.18364242363689,20.833333333333332,33.27494886881455,20.75,32.89661836724255,21.708333333333332,34.470372745623486,14.083333333333334,24.584745722138805
Hungarian Museum of Trade and Tourism,museum,47.538689,19.0432167,0.0,0.0,17.958333333333332,25.799675654722655,25.833333333333332,37.73886885191742,23.708333333333332,34.334723879607495,19.833333333333332,28.215933245045946
Körönd Veterinary Clinic and Pet Pharmacy,veterinary_care,47.5086343,19.0690122,9.375,12.50270803999411,10.416666666666666,15.253187280769296,22.125,29.347504862707947,7.291666666666667,10.573075737719632,23.583333333333332,33.238928816808894
